,est,y_sample,date
3680,213.2862098029593,214.9199,2018-09-20
3681,214.78998633727898,212.605,2018-09-21
3682,212.9016908079702,215.6623,2018-09-24
3683,215.52256994363415,217.0298,2018-09-25
3684,216.9005616263488,215.3009,2018-09-26
3685,215.51099100000502,219.7257,2018-09-27
3686,219.37183010235574,220.4973,2018-09-28
3687,220.32283702870737,221.982,2018-10-01
3688,221.83024669149,223.9551,2018-10-02
3689,223.69947844754776,226.6803,2018-10-03
3690,226.32020960025753,222.6951,2018-10-04
3691,223.23281564702538,219.081,2018-10-05
3692,219.95980178434309,218.5731,2018-10-08
3693,218.96115824837747,221.6011,2018-10-09
3694,221.35276302632738,211.3352,2018-10-10
3695,213.07329905987777,209.4695,2018-10-11
3696,210.6998351756957,216.9516,2018-10-12
3697,216.3711628068946,212.3119,2018-10-15
3698,212.64136850837176,216.9907,2018-10-16
3699,216.90121538736096,216.053,2018-10-17
3700,216.10900706600307,211.003,2018-10-18
3701,212.1058927588944,214.2166,2018-10-19
3702,214.28695073615071,215.5255,2018-10-22
3703,215.41606571377042,217.5572,2018-10-23
3704,217.29101140639432,210.0946,2018-10-24
3705,211.36342695808807,214.6953,2018-10-25
3706,214.53750032385264,211.2765,2018-10-26
3707,211.60188858916203,207.3108,2018-10-29
3708,208.193366315583,208.3462,2018-10-30
3709,208.54555175042108,213.7771,2018-10-31
3710,213.24051918928032,217.0591,2018-11-01
3711,216.50751240214677,202.6614,2018-11-02
3712,205.19637697338004,196.9082,2018-11-05
3713,199.16935763049,199.0375,2018-11-06
3714,199.2461572930039,205.074,2018-11-07
3715,204.45733996911022,204.361,2018-11-08
3716,204.35036430540404,200.4206,2018-11-09
3717,201.2802801377476,190.3246,2018-11-12
3718,192.68495361355633,188.423,2018-11-13
3719,189.57955744885948,183.1005,2018-11-14
3720,184.34284722228705,187.6192,2018-11-15
3721,187.68391323783152,189.6973,2018-11-16
3722,189.48768010377785,182.1792,2018-11-19
3723,183.45060963882642,173.475,2018-11-20
3724,175.41141742308915,173.27900000000002,2018-11-21
3725,174.0327779189135,171.1618,2018-11-26
3726,171.6125053040941,170.7893,2018-11-27
3727,171.0371556130777,177.3566,2018-11-28
3728,176.86139584547976,175.9941,2018-11-29
3729,176.0289258745015,175.0433,2018-11-30
3730,175.3033348850963,181.1597,2018-12-03
3731,180.64861553158033,173.1908,2018-12-04
3732,174.2204887691184,171.2598,2018-12-06
3733,172.2658430840908,165.1532,2018-12-07
3734,166.57395276307994,166.2412,2018-12-10
3735,166.63861164305771,165.2904,2018-12-11
3736,165.4179853775972,165.7511,2018-12-12
3737,165.76199371901697,167.5644,2018-12-13
3738,167.37054320088694,162.2028,2018-12-14
3739,163.07954797357337,160.6933,2018-12-17
3740,161.37746013069167,162.7811,2018-12-18
3741,162.67767886001127,157.7037,2018-12-19
3742,158.46077061453983,153.7241,2018-12-20
3743,154.7336283529896,147.7449,2018-12-21
3744,148.97217345381335,153.0575,2018-12-27
3745,152.9968901113368,153.136,2018-12-28
3746,153.07610675489477,154.7925,2019-01-02
3747,154.66042790784252,139.374,2019-01-03
3748,142.3297961868609,145.3238,2019-01-04
3749,145.92979975605564,145.0003,2019-01-07
3750,144.91888193807242,147.7645,2019-01-08
3751,147.56942652812816,150.2738,2019-01-09
3752,150.00156106321379,150.7541,2019-01-10
3753,150.65655499637154,149.274,2019-01-11
3754,149.5142220838719,147.0293,2019-01-14
3755,147.49065298061598,150.0385,2019-01-15
3756,149.88586401624408,151.8715,2019-01-16
3757,151.56137488342824,152.7733,2019-01-17
3758,152.7066927567557,153.7143,2019-01-18
3759,153.5896813055498,150.264,2019-01-22
3760,150.8502759937294,150.8717,2019-01-23
3761,151.10053318210242,149.6759,2019-01-24
